-2 -1 -1 00
0 0 0 0 0 1
8 5 3 70.7 67 1 0
9 5 3 74.3 67 1 0
6 0 0 0 0 1
0 6 1 64.7 67 1 0
1 6 1 74 67 1 0
2 6 1 58.5 67 1 0
3 6 1 66.1 67 1 0
4 6 1 86.8 67 1 0
5 6 1 137.8 157 1 0
6 6 1 61.3 67 1 0
7 6 1 79.7 67 1 0
8 6 1 78.8 67 1 0
9 6 1 64 67 1 0
7 0 0 0 0 1
0 7 1 69.9 67 1 0
1 7 1 88.1 67 1 0
2 7 1 62 67 1 0
3 7 1 80.9 67 1 0
4 7 1 60 67 1 0
5 7 1 63.1 67 1 0
6 7 1 77.4 67 1 0
7 7 1 68.4 67 1 0
8 7 1 73.7 67 1 0
9 7 1 67.7 67 1 0
8 0 0 0 0 0
0 8 2 50.8 67 1 0
1 8 3 60.3 67 1 0
2 8 3 73.1 67 1 0
3 8 2 72.8 67 1 0
4 8 3 64.7 67 1 0
5 8 2 56.7 67 1 0
6 8 3 60.8 67 1 0
7 8 3 60.2 67 1 0
8 8 3 82.9 67 1 0
9 8 3 81.6 67 1 0
9 0 0 0 0 0
0 9 3 66.7 67 1 0
1 9 3 83.1 67 1 0
2 9 2 84.8 67 1 0
3 9 2 60.1 67 1 0
4 9 3 69.3 67 1 0
5 9 2 63.9 67 1 0
6 9 2 87.6 67 1 0
7 9 3 66.1 67 1 0
8 9 3 62.4 67 1 0
9 9 2 82.6 67 1 0
10 0 0 0 0 0
0 10 3 74.7 67 1 0
1 10 2 79.3 67 1 0
2 10 3 71.1 67 1 0
3 10 2 52.8 67 1 0
4 10 3 83 67 1 0
5 10 3 104.7 157 1 0
6 10 3 70 67 1 0
7 10 2 57.4 67 1 0
8 10 2 87.5 67 1 0
9 10 2 71.3 67 1 0
11 0 0 0 0 0
0 11 2 79.7 67 1 0
1 11 2 61.3 67 1 0
2 11 2 77.1 67 1 0
3 11 3 79.5 67 1 0
4 11 2 59.5 67 1 0
5 11 2 59 67 1 0
6 11 3 64.5 67 1 0
7 11 2 77.8 67 1 0
8 11 2 77.3 67 1 0
9 11 3 86.2 67 1 0
12 0 0 0 0 1
0 12 1 62.1 67 1 0
1 12 1 81.5 67 1 0
2 12 1 74.7 67 1 0
3 12 1 65.9 67 1 0
4 12 1 75.4 67 1 0
5 12 1 63.1 67 1 0
6 12 1 59.7 67 1 0
7 12 1 65.7 67 1 0
8 12 1 72.6 67 1 0
9 12 1 64.8 67 1 0
13 0 0 0 0 0
0 13 3 75.6 67 1 0
1 13 2 64.2 67 1 0
2 13 2 72.4 67 1 0
3 13 3 83.4 67 1 0
4 13 1 118.8 157 1 0
5 13 3 75.4 67 1 0
6 13 3 86.5 67 1 0
7 13 3 63.4 67 1 0
8 13 2 75 67 1 0
9 13 2 68.2 67 1 0
14 0 0 0 0 0
0 14 3 72.6 67 1 0
1 14 2 83.2 67 1 0
2 14 2 62 67 1 0
3 14 2 85.1 67 1 0
4 14 3 61.8 67 1 0
5 14 3 75.8 67 1 0
6 14 2 70.3 67 1 0
7 14 3 75.5 67 1 0
8 14 3 66.8 67 1 0
9 14 2 62.7 67 1 0
15 0 0 0 0 1
0 15 1 58.3 67 1 0
1 15 1 80 67 1 0
2 15 1 69.9 67 1 0
3 15 1 74.2 67 1 0
4 15 1 78.2 67 1 0
5 15 1 75.6 67 1 0
6 15 1 78 67 1 0
7 15 1 67.1 67 1 0
8 15 1 86.4 67 1 0
9 15 1 58 67 1 0
16 0 0 0 0 1
0 16 1 80.9 67 1 0
1 16 1 69 67 1 0
2 16 1 81.7 67 1 0
3 16 2 115.1 157 1 0
4 16 1 80.5 67 1 0
5 16 1 82.2 67 1 0
6 16 1 58.2 67 1 0
7 16 1 76.7 67 1 0
8 16 1 58.3 67 1 0
9 16 1 83.9 67 1 0
17 0 0 0 0 0
0 17 3 68.9 67 1 0
1 17 2 66 67 1 0
2 17 2 64.6 67 1 0
3 17 2 78 67 1 0
4 17 3 68.8 67 1 0
5 17 2 61.6 67 1 0
6 17 3 82.8 67 1 0
7 17 2 79.1 67 1 0
8 17 3 64.3 67 1 0
9 17 3 63.1 67 1 0
18 0 0 0 0 1
0 18 1 69.3 67 1 0
1 18 1 63.5 67 1 0
2 18 1 84.1 67 1 0
3 18 1 77.3 67 1 0
4 18 1 88.9 67 1 0
5 18 1 77.9 67 1 0
6 18 1 62.4 67 1 0
7 18 1 61.7 67 1 0
8 18 1 77 67 1 0
9 18 1 81.8 67 1 0
19 0 0 0 0 1
0 19 1 84.4 67 1 0
1 19 1 72 67 1 0
2 19 1 57.1 67 1 0
3 19 1 63.9 67 1 0
4 19 1 79.5 67 1 0
5 19 1 83.8 67 1 0
6 19 1 75 67 1 0
7 19 1 78.6 67 1 0
8 19 1 82.4 67 1 0
9 19 1 83.3 67 1 0
20 0 0 0 0 1
0 20 1 88.4 67 1 0
1 20 1 83.1 67 1 0
2 20 1 72 67 1 0
3 20 1 81.9 67 1 0
4 20 1 73.2 67 1 0
5 20 1 59.2 67 1 0
6 20 1 65.7 67 1 0
7 20 1 78.3 67 1 0
8 20 1 85.8 67 1 0
9 20 1 105.5 157 1 0
21 0 0 0 0 0
0 21 2 61.5 67 1 0
1 21 2 60.3 67 1 0
2 21 2 54.1 67 1 0
3 21 3 62.7 67 1 0
4 21 3 53.5 67 1 0
5 21 2 72.2 67 1 0
6 21 3 83.4 67 1 0
7 21 2 130.8 157 1 0
8 21 3 63.9 67 1 0
9 21 3 65 67 1 0
22 0 0 0 0 0
0 22 2 75.7 67 1 0
1 22 2 75.1 67 1 0
2 22 2 114.8 157 1 0
3 22 2 94.2 67 1 0
4 22 3 73 67 1 0
5 22 3 57.8 67 1 0
6 22 3 65.7 67 1 0
7 22 2 88.4 67 1 0
8 22 2 85.7 67 1 0
9 22 2 70.9 67 1 0
23 -1 -1 0 0 1
0 23 1 79.5 67 1 0
1 23 1 81.3 67 1 0
2 23 1 86.8 67 1 0
3 23 1 77.8 67 1 0
4 23 1 83 67 1 0
5 23 1 69 67 1 0
6 23 1 64.6 67 1 0
7 23 1 78.5 67 1 0
8 23 1 69.7 67 1 0
9 23 1 69.9 67 1 0
24 0 0 0 0 0
0 24 2 75.3 67 1 0
1 24 2 118.6 157 1 0
2 24 2 64.8 67 1 0
3 24 2 71.9 67 1 0
4 24 3 64.8 67 1 0
5 24 3 74.1 67 1 0
6 24 3 62.3 67 1 0
7 24 3 78.9 67 1 0
8 24 3 86.1 67 1 0
9 24 2 67.4 67 1 0
25 0 0 0 0 0
0 25 2 76.9 67 1 0
1 25 3 73.3 67 1 0
2 25 3 57.5 67 1 0
3 25 2 62.7 67 1 0
4 25 2 120.1 157 1 0
5 25 2 69.4 67 1 0
6 25 2 80.2 67 1 0
7 25 2 83.1 67 1 0
8 25 2 77.3 67 1 0
9 25 3 76.6 67 1 0
26 0 0 0 0 1
0 26 1 78.9 67 1 0
1 26 1 58.7 67 1 0
2 26 1 62.2 67 1 0
3 26 1 57.9 67 1 0
4 26 3 107 157 1 0
5 26 1 62.1 67 1 0
6 26 1 86.2 67 1 0
7 26 1 79.3 67 1 0
8 26 1 70.4 67 1 0
9 26 1 57.6 67 1 0
27 -1 0 -1 0 0
0 27 2 65.2 67 1 0
1 27 3 60 67 1 0
2 27 3 84.7 67 1 0
3 27 3 84 67 1 0
4 27 2 88.1 67 1 0
5 27 3 67.4 67 1 0
6 27 2 57.6 67 1 0
7 27 3 82.5 67 1 0
8 27 3 64.2 67 1 0
9 27 3 81.7 67 1 0
28 0 0 0 0 0
0 28 2 67.8 67 1 0
1 28 2 86.9 67 1 0
2 28 3 81.4 67 1 0
3 28 3 81.7 67 1 0
4 28 2 71.6 67 1 0
5 28 3 85.7 67 1 0
6 28 3 83.3 67 1 0
7 28 2 75.8 67 1 0
8 28 2 82.4 67 1 0
9 28 3 71.8 67 1 0
29 0 0 0 0 0
0 29 2 80.8 67 1 0
1 29 3 61.9 67 1 0
2 29 2 77.2 67 1 0
3 29 2 60.4 67 1 0
4 29 3 64.8 67 1 0
5 29 2 85.2 67 1 0
6 29 3 62.3 67 1 0
7 29 2 78.4 67 1 0
8 29 2 61.5 67 1 0
9 29 2 64.9 67 1 0
30 0 0 0 0 0
0 30 2 57.2 67 1 0
1 30 2 118.8 157 1 0
2 30 2 70.7 67 1 0
3 30 2 63.1 67 1 0
4 30 2 59.8 67 1 0
5 30 2 54.7 67 1 0
6 30 3 75.3 67 1 0
7 30 3 66.4 67 1 0
8 30 2 75.4 67 1 0
9 30 3 80.1 67 1 0
31 0 0 0 0 1
0 31 1 58.5 67 1 0
1 31 1 63.8 67 1 0
2 31 1 72.6 67 1 0
3 31 1 63.4 67 1 0
4 31 1 63.8 67 1 0
5 31 1 78.6 67 1 0
6 31 1 82.1 67 1 0
7 31 1 60.6 67 1 0
8 31 1 73 67 1 0
9 31 1 75.6 67 1 0
32 0 0 0 0 0
0 32 2 66.7 67 1 0
1 32 2 82.7 67 1 0
2 32 3 67.1 67 1 0
3 32 2 74.9 67 1 0
4 32 2 58.2 67 1 0
5 32 2 85.5 67 1 0
6 32 2 66.9 67 1 0
7 32 2 77.3 67 1 0
8 32 2 119.3 157 1 0
9 32 2 80.6 67 1 0
33 0 0 0 0 0
0 33 2 70 67 1 0
1 33 2 74.9 67 1 0
2 33 3 56.6 67 1 0
3 33 3 55.9 67 1 0
4 33 3 60.8 67 1 0
5 33 3 62.9 67 1 0
6 33 2 86 67 1 0
7 33 2 66.5 67 1 0
8 33 3 74.8 67 1 0
9 33 2 90.2 67 1 0
34 0 0 0 0 0
0 34 3 71.2 67 1 0
1 34 2 82.1 67 1 0
2 34 3 70.1 67 1 0
3 34 2 90 67 1 0
4 34 2 87.5 67 1 0
5 34 3 85.8 67 1 0
6 34 3 57 67 1 0
7 34 2 78.9 67 1 0
8 34 2 77.1 67 1 0
9 34 2 62.1 67 1 0
35 0 0 0 0 0
0 35 3 64.4 67 1 0
1 35 2 79.2 67 1 0
2 35 2 85.7 67 1 0
3 35 2 70.5 67 1 0
4 35 2 61.2 67 1 0
5 35 3 57.5 67 1 0
6 35 3 74.9 67 1 0
7 35 3 77.7 67 1 0
8 35 2 59.5 67 1 0
9 35 3 71.2 67 1 0
36 0 0 0 0 1
0 36 1 65.9 67 1 0
1 36 1 64.8 67 1 0
2 36 1 54.4 67 1 0
3 36 1 57.6 67 1 0
4 36 1 59.7 67 1 0
5 36 1 72.5 67 1 0
6 36 1 67.5 67 1 0
7 36 1 86.4 67 1 0
8 36 1 56.1 67 1 0
9 36 1 79.5 67 1 0
37 0 0 0 0 0
0 37 2 65.5 67 1 0
1 37 3 78.7 67 1 0
2 37 3 71.1 67 1 0
3 37 2 72.2 67 1 0
4 37 3 70.8 67 1 0
5 37 3 73 67 1 0
6 37 2 70.7 67 1 0
7 37 3 61.9 67 1 0
8 37 3 75.6 67 1 0
9 37 3 77.8 67 1 0
38 0 0 0 0 0
0 38 3 57.1 67 1 0
1 38 3 77.8 67 1 0
2 38 2 68.2 67 1 0
3 38 3 63.9 67 1 0
4 38 3 60.5 67 1 0
5 38 3 62.8 67 1 0
6 38 3 119.9 157 1 0
7 38 3 65.2 67 1 0
8 38 3 87.1 67 1 0
9 38 3 75.5 67 1 0
39 0 0 0 0 0
0 39 2 57.3 67 1 0
1 39 3 60.3 67 1 0
2 39 3 83.6 67 1 0
3 39 2 81.9 67 1 0
4 39 3 82.3 67 1 0
5 39 2 72.1 67 1 0
6 39 2 84.3 67 1 0
7 39 2 75.1 67 1 0
8 39 2 86.4 67 1 0
9 39 2 80.4 67 1 0
40 0 0 0 0 0
0 40 2 76.8 67 1 0
1 40 3 57.6 67 1 0
2 40 3 83.7 67 1 0
3 40 2 60.2 67 1 0
4 40 2 88.4 67 1 0
5 40 3 81.2 67 1 0
6 40 3 56.6 67 1 0
7 40 2 68 67 1 0
8 40 3 68 67 1 0
9 40 3 48.8 67 1 0
41 0 0 0 0 0
0 41 3 58.8 67 1 0
1 41 2 73.2 67 1 0
2 41 1 113.2 157 1 0
3 41 3 76.7 67 1 0
4 41 2 81.9 67 1 0
5 41 2 64.1 67 1 0
6 41 3 68.1 67 1 0
7 41 2 82.6 67 1 0
8 41 3 59.3 67 1 0
9 41 1 119.5 157 1 0
42 0 0 0 0 0
0 42 3 83.6 67 1 0
1 42 3 86 67 1 0
2 42 2 73.2 67 1 0
3 42 2 75.7 67 1 0
4 42 3 90.4 67 1 0
5 42 2 64.1 67 1 0
6 42 2 78.6 67 1 0
7 42 2 61 67 1 0
8 42 3 63.4 67 1 0
9 42 2 136.8 157 1 0
43 0 0 0 0 1
0 43 1 81.4 67 1 0
1 43 1 70.1 67 1 0
2 43 1 56.9 67 1 0
3 43 1 58.7 67 1 0
4 43 1 60.9 67 1 0
5 43 1 68.2 67 1 0
6 43 1 83.7 67 1 0
7 43 1 82.5 67 1 0
8 43 1 137 157 1 0
9 43 1 79.2 67 1 0
44 0 0 0 0 1
0 44 1 89 67 1 0
1 44 1 66.1 67 1 0
2 44 1 54.4 67 1 0
3 44 1 82.8 67 1 0
4 44 1 121.8 157 1 0
5 44 1 69.3 67 1 0
6 44 1 87.7 67 1 0
7 44 1 74.1 67 1 0
8 44 1 58.9 67 1 0
9 44 1 61.4 67 1 0
45 0 0 0 0 0
0 45 3 67 67 1 0
1 45 3 81 67 1 0
2 45 3 67.3 67 1 0
3 45 3 57.3 67 1 0
4 45 2 63.6 67 1 0
5 45 2 69.5 67 1 0
6 45 3 67.3 67 1 0
7 45 2 64.9 67 1 0
8 45 1 136.6 157 1 0
9 45 2 69.3 67 1 0
46 0 0 0 0 0
0 46 2 57.1 67 1 0
1 46 2 80.8 67 1 0
2 46 3 72 67 1 0
3 46 2 84.6 67 1 0
4 46 2 82.1 67 1 0
5 46 3 64.3 67 1 0
6 46 2 53.3 67 1 0
7 46 2 78.5 67 1 0
8 46 2 77.6 67 1 0
9 46 3 72.2 67 1 0
47 0 0 0 0 1
0 47 1 79.7 67 1 0
1 47 1 78.4 67 1 0
2 47 1 81.8 67 1 0
3 47 1 81.8 67 1 0
4 47 1 68.6 67 1 0
5 47 2 134.8 157 1 0
6 47 1 68.2 67 1 0
7 47 1 70.1 67 1 0
8 47 1 84.8 67 1 0
9 47 1 71.2 67 1 0
48 0 0 0 0 0
0 48 2 80.8 67 1 0
1 48 2 77 67 1 0
2 48 3 73 67 1 0
3 48 3 58.4 67 1 0
4 48 3 85.8 67 1 0
5 48 2 84.2 67 1 0
6 48 2 66.2 67 1 0
7 48 3 86.5 67 1 0
8 48 2 85.6 67 1 0
9 48 2 71 67 1 0
49 0 0 0 0 1
0 49 1 61.4 67 1 0
1 49 1 75.6 67 1 0
2 49 1 66.1 67 1 0
3 49 1 80 67 1 0
4 49 1 76.4 67 1 0
5 49 1 52.4 67 1 0
6 49 1 67.6 67 1 0
7 49 1 62 67 1 0
8 49 1 73.1 67 1 0
9 49 1 86.7 67 1 0
50 0 0 0 0 0
0 50 3 111 157 1 0
1 50 2 68.9 67 1 0
2 50 3 71.2 67 1 0
3 50 2 61.8 67 1 0
4 50 3 86 67 1 0
5 50 3 79.6 67 1 0
6 50 3 81.1 67 1 0
7 50 2 88.5 67 1 0
8 50 3 68.1 67 1 0
9 50 2 73.8 67 1 0
51 0 0 0 0 0
0 51 2 77.8 67 1 0
1 51 3 57.2 67 1 0
2 51 3 66 67 1 0
3 51 3 58.4 67 1 0
4 51 3 64.6 67 1 0
5 51 2 87.1 67 1 0
6 51 2 65.5 67 1 0
7 51 3 90.5 67 1 0
8 51 2 64.2 67 1 0
9 51 3 63.5 67 1 0
52 0 0 0 0 0
0 52 3 74.9 67 1 0
1 52 3 84 67 1 0
2 52 2 116.4 157 1 0
3 52 3 107.2 157 1 0
4 52 3 81.1 67 1 0
5 52 2 78.7 67 1 0
6 52 3 60.9 67 1 0
7 52 2 65.4 67 1 0
8 52 3 60.6 67 1 0
9 52 3 69.4 67 1 0
53 0 0 0 0 0
0 53 2 71.6 67 1 0
1 53 3 58.5 67 1 0
2 53 3 77 67 1 0
3 53 3 61.6 67 1 0
4 53 2 77.2 67 1 0
5 53 2 67.3 67 1 0
6 53 2 76.1 67 1 0
7 53 2 107.2 157 1 0
8 53 2 60.1 67 1 0
9 53 2 77.6 67 1 0
54 0 0 0 0 0
0 54 3 64.5 67 1 0
1 54 3 67.4 67 1 0
2 54 3 75 67 1 0
3 54 3 66 67 1 0
4 54 3 84.8 67 1 0
5 54 3 55.5 67 1 0
6 54 2 58.1 67 1 0
7 54 3 82.9 67 1 0
8 54 2 79.9 67 1 0
9 54 3 76.5 67 1 0
55 0 0 0 0 0
0 55 2 71.6 67 1 0
1 55 2 79.4 67 1 0
2 55 2 82.4 67 1 0
3 55 2 69.9 67 1 0
4 55 2 124.4 157 1 0
5 55 3 81.3 67 1 0
6 55 2 61.5 67 1 0
7 55 3 79.8 67 1 0
8 55 3 58.1 67 1 0
9 55 2 127.5 157 1 0
56 0 0 0 0 1
0 56 1 62.4 67 1 0
1 56 1 67 67 1 0
2 56 1 73.2 67 1 0
3 56 1 60 67 1 0
4 56 1 68.7 67 1 0
5 56 1 85.9 67 1 0
6 56 1 82.7 67 1 0
7 56 1 68.1 67 1 0
8 56 1 67 67 1 0
9 56 1 58.5 67 1 0
57 0 0 0 0 0
0 57 3 86.1 67 1 0
1 57 3 70.6 67 1 0
2 57 3 77.7 67 1 0
3 57 2 61.1 67 1 0
4 57 2 50 67 1 0
5 57 2 69.6 67 1 0
6 57 2 77.4 67 1 0
7 57 3 84.7 67 1 0
8 57 3 61.7 67 1 0
9 57 2 87.8 67 1 0
58 0 0 0 0 0
0 58 3 59.8 67 1 0
1 58 2 79.6 67 1 0
2 58 3 67.7 67 1 0
3 58 2 79.5 67 1 0
4 58 2 73.3 67 1 0
5 58 3 70.5 67 1 0
6 58 3 69.3 67 1 0
7 58 2 86.8 67 1 0
8 58 2 59.8 67 1 0
9 58 2 90.2 67 1 0
59 0 0 0 0 1
0 59 1 75.1 67 1 0
1 59 1 58.2 67 1 0
2 59 1 65.8 67 1 0
3 59 1 68.9 67 1 0
4 59 1 75 67 1 0
5 59 1 79.3 67 1 0
6 59 1 61 67 1 0
7 59 1 80.9 67 1 0
8 59 1 55.6 67 1 0
9 59 1 73.7 67 1 0
60 0 0 0 0 0
0 60 2 73.3 67 1 0
1 60 3 87.8 67 1 0
2 60 3 81.6 67 1 0
3 60 2 73 67 1 0
4 60 3 63.9 67 1 0
5 60 3 119.9 157 1 0
6 60 3 76 67 1 0
7 60 2 54.4 67 1 0
8 60 3 65.3 67 1 0
9 60 2 81.7 67 1 0
61 0 0 0 0 0
0 61 2 66.6 67 1 0
1 61 2 61.6 67 1 0
2 61 3 70.2 67 1 0
3 61 2 84.2 67 1 0
4 61 3 89.9 67 1 0
5 61 2 70.4 67 1 0
6 61 2 60.8 67 1 0
7 61 3 76.8 67 1 0
8 61 3 117.6 157 1 0
9 61 3 91.2 67 1 0
62 0 0 0 0 1
0 62 1 63.4 67 1 0
1 62 1 69.1 67 1 0
2 62 1 59.3 67 1 0
3 62 1 58.7 67 1 0
4 62 1 73.8 67 1 0
5 62 1 86.9 67 1 0
6 62 1 56.5 67 1 0
7 62 1 83.5 67 1 0
8 62 1 62.2 67 1 0
9 62 1 76.8 67 1 0
63 0 0 0 0 1
0 63 1 63.1 67 1 0
1 63 1 84.9 67 1 0
2 63 1 88.3 67 1 0
3 63 1 74 67 1 0
4 63 1 75.2 67 1 0
5 63 1 56.8 67 1 0
6 63 1 85.4 67 1 0
7 63 1 59.6 67 1 0
8 63 1 70.5 67 1 0
9 63 1 72.2 67 1 0
64 0 0 0 0 0
0 64 2 131 157 1 0
1 64 3 83.6 67 1 0
2 64 2 65.2 67 1 0
3 64 2 57.4 67 1 0
4 64 3 68.9 67 1 0
5 64 2 66.7 67 1 0
6 64 3 89.2 67 1 0
7 64 3 78.2 67 1 0
8 64 3 60.8 67 1 0
9 64 2 73.9 67 1 0
65 0 0 0 0 0
0 65 2 77.5 67 1 0
1 65 3 84.9 67 1 0
2 65 2 61 67 1 0
3 65 2 78.7 67 1 0
4 65 3 74.3 67 1 0
5 65 3 83.3 67 1 0
6 65 2 82.1 67 1 0
7 65 3 70.4 67 1 0
8 65 3 74.1 67 1 0
9 65 3 73.7 67 1 0
66 0 0 0 0 0
0 66 3 78.8 67 1 0
1 66 2 82.7 67 1 0
2 66 3 72.9 67 1 0
3 66 2 63.7 67 1 0
4 66 3 77 67 1 0
5 66 3 67.5 67 1 0
6 66 3 61 67 1 0
7 66 3 73.6 67 1 0
8 66 3 65.2 67 1 0
9 66 3 76.2 67 1 0
67 0 0 0 0 0
0 67 3 81.9 67 1 0
1 67 3 74.2 67 1 0
2 67 2 82 67 1 0
3 67 3 79.4 67 1 0
4 67 3 77.7 67 1 0
5 67 3 73.1 67 1 0
6 67 3 77.3 67 1 0
7 67 2 78.8 67 1 0
8 67 3 62 67 1 0
9 67 2 62.5 67 1 0
68 0 0 0 0 0
0 68 3 75.8 67 1 0
1 68 2 61.5 67 1 0
2 68 2 72.7 67 1 0
3 68 3 80.7 67 1 0
4 68 3 59.7 67 1 0
5 68 3 60.3 67 1 0
6 68 2 62.6 67 1 0
7 68 2 81.1 67 1 0
8 68 3 75.4 67 1 0
9 68 3 66.4 67 1 0
69 0 0 0 0 1
0 69 1 89.2 67 1 0
1 69 1 81.6 67 1 0
2 69 1 81.3 67 1 0
3 69 1 67.6 67 1 0
4 69 1 69.4 67 1 0
5 69 1 60.4 67 1 0
6 69 1 79 67 1 0
7 69 1 76.8 67 1 0
8 69 1 84.8 67 1 0
9 69 1 80.5 67 1 0
70 0 0 0 0 0
0 70 3 73.8 67 1 0
1 70 3 69.6 67 1 0
2 70 3 84.6 67 1 0
3 70 3 71.7 67 1 0
4 70 2 140.8 157 1 0
5 70 2 51 67 1 0
6 70 3 69.8 67 1 0
7 70 2 132.7 157 1 0
8 70 3 59.8 67 1 0
9 70 2 66.8 67 1 0
71 0 0 0 0 0
0 71 3 112 157 1 0
1 71 2 88 67 1 0
2 71 3 81.3 67 1 0
3 71 2 86.8 67 1 0
4 71 2 57.8 67 1 0
5 71 3 80.3 67 1 0
6 71 3 68.8 67 1 0
7 71 3 119.4 157 1 0
8 71 2 79.4 67 1 0
9 71 2 88.8 67 1 0
72 0 0 0 0 0
0 72 2 80.6 67 1 0
1 72 3 71.6 67 1 0
2 72 2 70.2 67 1 0
3 72 2 58.7 67 1 0
4 72 2 66.7 67 1 0
5 72 3 66.4 67 1 0
6 72 2 78.8 67 1 0
7 72 3 61.9 67 1 0
8 72 3 73.9 67 1 0
9 72 2 68.3 67 1 0
73 0 0 0 0 1
0 73 1 63.7 67 1 0
1 73 1 76.5 67 1 0
2 73 1 71.9 67 1 0
3 73 1 64.4 67 1 0
4 73 1 75.4 67 1 0
5 73 1 59.8 67 1 0
6 73 1 68.1 67 1 0
7 73 1 84.5 67 1 0
8 73 1 83.1 67 1 0
9 73 1 74.9 67 1 0
74 0 0 0 0 0
0 74 2 63.3 67 1 0
1 74 2 60.8 67 1 0
2 74 3 70 67 1 0
3 74 3 70.8 67 1 0
4 74 3 72.9 67 1 0
5 74 2 80 67 1 0
6 74 3 68.2 67 1 0
7 74 2 69.9 67 1 0
8 74 2 75.8 67 1 0
9 74 3 66.4 67 1 0
75 0 0 0 0 0
0 75 2 59.6 67 1 0
1 75 2 57.4 67 1 0
2 75 3 63.2 67 1 0
3 75 1 120.2 157 1 0
4 75 1 108.5 157 1 0
5 75 3 88.2 67 1 0
6 75 1 114.3 157 1 0
7 75 3 70.6 67 1 0
8 75 3 66.6 67 1 0
9 75 3 60.9 67 1 0
76 0 0 0 0 0
0 76 2 70.1 67 1 0
1 76 2 86.9 67 1 0
2 76 2 55.8 67 1 0
3 76 2 74.6 67 1 0
4 76 3 81.9 67 1 0
5 76 2 57.5 67 1 0
6 76 2 118.7 157 1 0
7 76 2 66.8 67 1 0
8 76 3 76.8 67 1 0
9 76 3 81.9 67 1 0
77 0 0 0 0 0
0 77 2 65.3 67 1 0
1 77 3 71.8 67 1 0
2 77 2 83.2 67 1 0
3 77 3 58.1 67 1 0
4 77 3 66.1 67 1 0
5 77 2 72.3 67 1 0
6 77 3 82.1 67 1 0
7 77 2 83.8 67 1 0
8 77 3 59.9 67 1 0
9 77 2 73.2 67 1 0
78 0 0 0 0 1
0 78 1 55.7 67 1 0
1 78 1 70.4 67 1 0
2 78 1 59.4 67 1 0
3 78 1 62.5 67 1 0
4 78 1 73.3 67 1 0
5 78 1 60 67 1 0
6 78 1 69.6 67 1 0
7 78 1 79.3 67 1 0
8 78 3 123.8 157 1 0
9 78 1 72.7 67 1 0
79 0 0 0 0 0
0 79 3 79.4 67 1 0
1 79 3 77.2 67 1 0
2 79 2 74.5 67 1 0
3 79 3 74.9 67 1 0
4 79 1 105.4 157 1 0
5 79 1 105 157 1 0
6 79 2 78.2 67 1 0
7 79 3 74.3 67 1 0
8 79 2 79.5 67 1 0
9 79 3 66.8 67 1 0
80 0 0 0 0 0
0 80 3 79.4 67 1 0
1 80 2 58.5 67 1 0
2 80 2 68.9 67 1 0
3 80 2 61.3 67 1 0
4 80 2 63.3 67 1 0
5 80 3 67.7 67 1 0
6 80 3 59.9 67 1 0
7 80 3 67.3 67 1 0
8 80 2 57.8 67 1 0
9 80 2 75.9 67 1 0
81 0 0 0 0 0
0 81 3 57 67 1 0
1 81 3 58.2 67 1 0
2 81 2 68.8 67 1 0
3 81 2 65.2 67 1 0
4 81 2 71.7 67 1 0
5 81 3 66.4 67 1 0
6 81 3 61.5 67 1 0
7 81 2 72.9 67 1 0
8 81 2 61.9 67 1 0
9 81 3 78.2 67 1 0
82 0 0 0 0 0
